OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ2959.obj,FJ2959,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,44.5×47.1×53.6,part_of,,,
FJ2959.obj,FJ2959,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,44.5×47.1×53.6,is_a,,,
FJ2960.obj,FJ2960,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,28.6×17.1×13.8,part_of,,,
FJ2960.obj,FJ2960,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,28.6×17.1×13.8,is_a,,,
FJ2961.obj,FJ2961,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,8×27.8×18.9,part_of,,,
FJ2961.obj,FJ2961,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,8×27.8×18.9,is_a,,,
FJ2962.obj,FJ2962,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,19.4×17.6×4.8,part_of,,,
FJ2962.obj,FJ2962,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,19.4×17.6×4.8,is_a,,,
FJ2963.obj,FJ2963,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,8.7×1.9×3.2,part_of,,,
FJ2963.obj,FJ2963,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,8.7×1.9×3.2,is_a,,,
FJ2964.obj,FJ2964,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,6.4×2.2×8.8,part_of,,,
FJ2964.obj,FJ2964,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,6.4×2.2×8.8,is_a,,,
FJ2965.obj,FJ2965,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,7.1×13.1×8.7,part_of,,,
FJ2965.obj,FJ2965,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,7.1×13.1×8.7,is_a,,,
FJ2966.obj,FJ2966,Pulmonary trunk,,FMA8612,Other,Other,,None,Others,,30.8×42.3×37.1,part_of,,,
